TourID_Dimension,TourHasLodging,TourAccommodationName,ProgramsBu,Close Rate Curr,Average Sale Curr,VPGnn Curr,Rescind Vol,Rescind%(Sales),,,,,
310892,TRUE,Grand Timber,Front Ran,0,$0 ,$0 ,$0 ,0,,,,,
311001,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
311042,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
311396,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
311478,TRUE,Breck Inn,Outbound,1,"$9,990 ","$9,990 ",$0 ,0,,,,,
311841,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
311951,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
311963,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
312564,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
312705,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
312870,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
312943,TRUE,GC8,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
312947,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
313046,TRUE,Breck Inn,Outbound,1,"$20,490 ","$20,490 ",$0 ,0,,,,,
313347,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
313480,TRUE,GL7,Outbound,0,$0 ,$0 ,"$14,990 ",1,,,,,
313566,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
313728,TRUE,Beaver Run,Outbound,1,"$21,790 ","$21,790 ",$0 ,0,,,,,
313746,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
313829,TRUE,GC8,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
313890,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
313893,FALSE,,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
313897,TRUE,Ski Village,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
313905,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,"$36,000 ",1,,,,,
314276,TRUE,Breck Inn,Outbound,1,"$16,990 ","$16,990 ",$0 ,0,,,,,
314285,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
314931,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
314999,TRUE,Gold Point,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
315102,TRUE,Grand Timber,Guest Mem,0,$0 ,$0 ,$0 ,0,,,,,
315337,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
315453,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
315720,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
315866,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
315876,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
315941,TRUE,Grand Timber,Outbound,1,"$97,669 ","$97,669 ",$0 ,0,,,,,
315944,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
315980,TRUE,Beaver Run,Outbound,1,"$16,400 ","$16,400 ",$0 ,0,,,,,
316074,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
316414,TRUE,Grand Timber,Outbound,1,"$13,990 ","$13,990 ",$0 ,0,,,,,
316415,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
316484,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
316508,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
316511,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
316512,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,"$15,990 ",1,,,,,
317162,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
317581,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
318084,TRUE,Breck Inn,Front Ran,0,$0 ,$0 ,$0 ,0,,,,,
318106,TRUE,Grand Timber,Front Ran,0,$0 ,$0 ,$0 ,0,,,,,
318189,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,"$26,201 ",1,,,,,
318228,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
318332,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
318545,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
318686,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
318730,TRUE,Ski Village,Front Ran,0,$0 ,$0 ,$0 ,0,,,,,
319060,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
319078,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
319225,TRUE,GC8,Front Ran,1,"$22,800 ","$45,600 ",$0 ,0,,,,,
319324,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
320468,TRUE,Breck Inn,Other Pro,1,"$11,990 ","$11,990 ",$0 ,0,,,,,
320801,TRUE,Grand Timber,Front Ran,1,"$9,990 ","$9,990 ",$0 ,0,,,,,
320898,TRUE,Breck Inn,Front Ran,0,$0 ,$0 ,$0 ,0,,,,,
321135,TRUE,GL7,Outbound,0,$0 ,$0 ,"$22,760 ",1,,,,,
321236,TRUE,Grand Timber,Front Ran,1,"$15,990 ","$15,990 ",$0 ,0,,,,,
321564,TRUE,,Inbound R,0,$0 ,$0 ,"$36,500 ",1,,,,,
321626,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
321689,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
321695,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
321708,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
321722,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
321941,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
322030,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
322136,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
322373,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
322495,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
322502,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
322506,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
322527,TRUE,DoubleTree,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
322877,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
322882,TRUE,Grand Timber,Outbound,1,"$20,224 ","$20,224 ",$0 ,0,,,,,
322952,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
322961,TRUE,RQ,Outbound,1,"$24,990 ","$24,990 ",$0 ,0,,,,,
323119,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
323135,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
323147,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
323213,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
323268,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
323498,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
323524,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
324920,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
324935,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
324950,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
